type,topic_B,topic_A,cosine,jaccard,words_B,words_A
Emerged,129,,,,"[""автобус"", ""водитель"", ""водитель автобус"", ""мойка"", ""падение""]",
Emerged,131,,,,"[""белгород"", ""белгород белгородский"", ""белгородский"", ""белгородский район"", ""курский""]",
Emerged,166,,,,"[""вертолёт"", ""военный вертолёт"", ""гур украина"", ""испания"", ""испанский""]",
Emerged,170,,,,"[""бросить"", ""бюллетень"", ""зелёнка"", ""избирательный"", ""избирательный комиссия""]",
Emerged,173,,,,"[""андрей"", ""губернатор"", ""мурманский"", ""мурманский область"", ""нападать""]",
Emerged,195,,,,"[""выразить соболезнование"", ""крокус"", ""крокус сити"", ""осуждать"", ""сити""]",
Emerged,209,,,,"[""бортник"", ""группа"", ""депортация"", ""егор"", ""израиль""]",
Emerged,234,,,,"[""актёр"", ""жириновский"", ""кологривый"", ""кровь асфальт"", ""никита кологривый""]",
Disappeared,,30,,,,"[""браться"", ""всё равно"", ""кинофестиваль"", ""концессия"", ""кончиться""]"
Disappeared,,94,,,,"[""автомобиль"", ""взрыв"", ""захар"", ""захар прилепин"", ""нижегородский""]"
Disappeared,,135,,,,"[""аппарат"", ""атлантика"", ""береговой"", ""затонуть"", ""обломок""]"
Disappeared,,184,,,,"[""акция"", ""коран"", ""мусульманин"", ""посольство"", ""сжечь""]"
Disappeared,,189,,,,"[""акула"", ""генконсульство"", ""египет"", ""нападение"", ""напасть""]"
Disappeared,,211,,,,"[""алкоголь"", ""запрет"", ""запретить"", ""поселение"", ""продавать""]"
Disappeared,,217,,,,"[""вода"", ""водоём"", ""зона"", ""зона отдых"", ""кама""]"
Disappeared,,219,,,,"[""волгоград"", ""волгоградец"", ""житель волгоград"", ""ленин"", ""название""]"
Disappeared,,222,,,,"[""день"", ""женский"", ""женский день"", ""женщина"", ""март""]"
Disappeared,,230,,,,"[""кровь"", ""куйбышевский"", ""лицей"", ""награждение"", ""нпз""]"
Stable,0,0,0.995018720626831,0.6666666666666666,"[""животное"", ""зоопарк"", ""кот"", ""кошка"", ""медведь""]","[""бездомный"", ""животное"", ""зоопарк"", ""кот"", ""кошка""]"
Stable,78,1,0.9246158599853516,0.6666666666666666,"[""атмосферный"", ""ветер"", ""воздух"", ""градус"", ""дождь""]","[""ветер"", ""воздух"", ""градус"", ""дождь"", ""ожидаться""]"
Merged,2,"[2, 25, 51, 208]",0.9719811081886292,0.25,"[""визит"", ""владимир"", ""владимир путин"", ""ким"", ""ким чен""]","[""владимир"", ""владимир путин"", ""глава государство"", ""государство"", ""народ""]"
Stable,10,3,0.9961843490600586,0.3333333333333333,"[""арка"", ""готовиться"", ""дорога"", ""житель"", ""завтра""]","[""водитель"", ""дом"", ""дорога"", ""житель"", ""нефтяник""]"
Merged,101,"[4, 197]",0.8755744099617004,0.1111111111111111,"[""вулкан"", ""зафиксировать"", ""землетрясение"", ""исландия"", ""пепел""]","[""завал"", ""землетрясение"", ""землетрясение турция"", ""погибнуть"", ""провинция""]"
Merged,1,"[5, 43, 115]",0.9786087870597839,0.5384615384615384,"[""возгорание"", ""гореть"", ""загореться"", ""здание"", ""квадратный""]","[""возгорание"", ""гореть"", ""здание"", ""ликвидировать"", ""метр""]"
Merged,11,"[6, 237]",0.9902149438858032,0.3333333333333333,"[""главный"", ""главный новость"", ""главный событие"", ""дневный"", ""новость утро""]","[""заявить"", ""мид"", ""новость"", ""новость утро"", ""событие""]"
Merged,17,"[7, 56, 62, 223]",0.9659817218780518,0.1111111111111111,"[""боевой"", ""боец"", ""вечорк"", ""военкор"", ""герой""]","[""боец"", ""военнослужащий"", ""гуманитарный"", ""доброволец"", ""зона""]"
Merged,33,"[8, 76, 132, 164, 224, 233]",0.8373463749885559,0.05263157894736842,"[""вейп"", ""внести"", ""госдума"", ""депутат"", ""закон""]","[""военкомат"", ""воинский"", ""воинский учёт"", ""госдума"", ""картапол""]"
Stable,9,9,0.9744844436645508,0.42857142857142855,"[""клуб"", ""команда"", ""кубок"", ""лига"", ""матч""]","[""авангард"", ""зенит"", ""игра"", ""клуб"", ""команда""]"
Merged,180,"[10, 153]",0.8960084915161133,0.1111111111111111,"[""аэропорт дубай"", ""вода"", ""дождь"", ""дубай"", ""затопить""]","[""вода"", ""дом"", ""дорога"", ""житель"", ""затопить""]"
Stable,15,11,0.9771238565444946,0.5384615384615384,"[""актёр"", ""год жизнь"", ""жизнь"", ""причина смерть"", ""прощание""]","[""актёр"", ""возраст"", ""возраст год"", ""год жизнь"", ""жизнь""]"
Merged,5,"[12, 23]",0.851066529750824,0.1111111111111111,"[""девушка"", ""задержать"", ""избить"", ""мужчина"", ""напасть""]","[""женщина"", ""мужчина"", ""наслать"", ""обнаружить"", ""погибший""]"
Stable,51,13,0.9823643565177917,0.5384615384615384,"[""брифинг"", ""дмитрий"", ""дмитрий песков"", ""дмитрий песок"", ""заявить песок""]","[""дмитрий"", ""дмитрий песков"", ""дмитрий песок"", ""заявление"", ""кремль""]"
Stable,71,14,0.9603633284568787,0.5384615384615384,"[""антироссийский"", ""антироссийский санкция"", ""ввести"", ""евросоюз"", ""ограничение""]","[""ввести"", ""ввести санкция"", ""евросоюз"", ""пакет"", ""пакет санкция""]"
