slice,topic_id,count,top_words,l1,l2,l3,label_full,core_topic,periphery_topic,heterogeneous,coverage,ring_1_count,ring_2_count,ring_3_count
2023-H1,0,760,"[""собака"", ""животное"", ""зоопарк"", ""пёс"", ""кот"", ""хозяин"", ""медведь"", ""кошка"", ""бездомный"", ""спасти""]",Общество,Животные и окружающая среда,Проблемы содержания и спасения животных,Общество -> Животные и окружающая среда -> Проблемы содержания и спасения животных,"Ядро сфокусировано на новостях о домашних и диких животных (собаки, коты, лисы, медведи) и их взаимодействии с людьми или среде обитания.","Периферия включает как истории о спасении и размещении животных (медведи в зоопарке, бездомный кот), так и новости о вредителях (нашествие шелкопряда) и общих природных явлениях (выход рек изо льда).",True,0.95,0,40,720
2023-H1,1,725,"[""градус"", ""температура"", ""погода"", ""ветер"", ""ожидаться"", ""дождь"", ""синоптик"", ""воздух"", ""температура воздух"", ""снег""]",Общество,Природные явления и климат,Прогнозы погоды и метеоусловия,Общество -> Природные явления и климат -> Прогнозы погоды и метеоусловия,"Ядро кластера посвящено ежедневным прогнозам погоды, включая температуру, осадки (снег, дождь) и ветер в конкретных городах.","Периферия обсуждает долгосрочные прогнозы, аномальные погодные явления (морозы, арктический воздух) и иногда упоминает связанные с погодой происшествия (обрушение фасада).",False,0.95,32,293,400
2023-H1,2,691,"[""путин"", ""владимир путин"", ""владимир"", ""президент"", ""послание"", ""глава государство"", ""государство"", ""президент россия"", ""федеральный собрание"", ""народ""]",Политика,Государственное управление и руководство,Заявления и послания высшего руководства,Политика -> Государственное управление и руководство -> Заявления и послания высшего руководства,"Ядро сфокусировано на прямых высказываниях президента России Владимира Путина о работе силовых структур, армии и ходе военных действий.","Периферия затрагивает предстоящие выборы и ожидания от Послания Федеральному Собранию, а также общественную поддержку решений президента.",False,1.0,61,325,305
2023-H1,3,452,"[""сызрань"", ""сызранский"", ""водитель"", ""житель"", ""нефтяник"", ""дорога"", ""свет"", ""дом"", ""отключение"", ""обесточить""]",Общество,Местные проблемы и ЖКХ,Инфраструктурные и бытовые проблемы в малом городе,Общество -> Местные проблемы и ЖКХ -> Инфраструктурные и бытовые проблемы в малом городе,Ядро сфокусировано на экстренных заседаниях властей и проблемах городской инфраструктуры в Сызрани.,"Периферия охватывает широкий спектр происшествий, бытовых отключений и ДТП, затрагивающих жителей Сызрани.",False,1.0,6,99,347
2023-H1,4,345,"[""землетрясение"", ""турция"", ""землетрясение турция"", ""завал"", ""турецкий"", ""провинция"", ""толчок"", ""сирия"", ""погибнуть"", ""число погибнуть""]",Происшествия,Стихийные бедствия и катастрофы,Сильные землетрясения,Происшествия -> Стихийные бедствия и катастрофы -> Сильные землетрясения,"Ядро сфокусировано на разрушительных последствиях и масштабах недавнего сильного землетрясения в Турции, включая число жертв и разрушения.","Периферия включает как отдаленные последствия землетрясений (например, вандализм в турецком представительстве за рубежом), так и общие сейсмологические прогнозы для других регионов.",True,0.95,104,77,164
2023-H1,5,344,"[""пожар"", ""возгорание"", ""мчс"", ""гореть"", ""площадь"", ""ликвидировать"", ""пожарный"", ""площадь пожар"", ""метр"", ""здание""]",Происшествия,Чрезвычайные ситуации и спасательные операции,Пожары и возгорания в городской среде,Происшествия -> Чрезвычайные ситуации и спасательные операции -> Пожары и возгорания в городской среде,"Ядро кластера посвящено крупным пожарам и возгораниям в зданиях и на промышленных объектах в Москве, с акцентом на работу МЧС и площадь происшествия.","Периферия включает как ликвидированные пожары в Москве (например, в здании ГУ МВД), так и инциденты за пределами Москвы (пожар на свалке в Чикаго, тушение пожара в Пушкине).",False,0.98,17,162,165
2023-H1,6,318,"[""сша"", ""новость"", ""этот час"", ""новость утро"", ""украина"", ""заявить"", ""утренний"", ""событие"", ""час"", ""мид""]",Политика,Международные отношения и Дипломатия,Заявления официальных лиц и внешнеполитические события,Политика -> Международные отношения и Дипломатия -> Заявления официальных лиц и внешнеполитические события,"Ядро сфокусировано на ежедневных утренних новостях, включающих заявления официальных лиц (МИД, ФСБ) и события, связанные с Украиной и США.","Периферия содержит общие новостные сводки дня, включая внутренние инициативы (туризм, гражданство) и локальные происшествия, но также затрагивает международные темы (Польша, КНДР).",False,0.95,118,156,44
2023-H1,7,263,"[""сво"", ""боец"", ""зона сво"", ""зона"", ""гуманитарный"", ""передовой"", ""военнослужащий"", ""ребята"", ""мобилизовать"", ""доброволец""]",Безопасность,Военная деятельность,Поддержка и обеспечение военнослужащих,Безопасность -> Военная деятельность -> Поддержка и обеспечение военнослужащих,"Ядро кластера фокусируется на личных историях, встречах родственников с мобилизованными/служащими и доставке гуманитарной помощи в зону боевых действий.","Периферия описывает более широкий спектр событий, связанных с военнослужащими, включая награждения, культурные мероприятия для войск и возвращение мобилизованных из отпуска.",False,1.0,7,85,171
2023-H1,8,246,"[""повестка"", ""призыв"", ""военкомат"", ""электронный"", ""воинский"", ""воинский учёт"", ""картапол"", ""мобилизация"", ""призывный"", ""госдума""]",Общество,Государственное регулирование,Воинский учёт и призыв,Общество -> Государственное регулирование -> Воинский учёт и призыв,"В России обсуждаются и вводятся изменения в систему воинского учёта, включая повышение призывного возраста и создание единого электронного реестра повесток.","Периферия затрагивает как российские законодательные инициативы по военному учёту, так и схожие инициативы в Украине, а также вопросы актуализации данных граждан.",False,0.95,30,92,124
2023-H1,9,239,"[""матч"", ""команда"", ""кубок"", ""клуб"", ""счёт"", ""авангард"", ""лига"", ""крыло"", ""игра"", ""зенит""]",Спорт,Командные виды спорта,Хоккейные лиги и соревнования,Спорт -> Командные виды спорта -> Хоккейные лиги и соревнования,Ядро посвящено освещению успехов и переживаний болельщиков за локальные российские хоккейные команды в рамках плей-офф ВХЛ.,"Периферия охватывает более широкий спектр новостей о российских хоккейных клубах, включая слухи о трансферах, ценах на билеты и матчи в рамках КХЛ и Кубка Гагарина.",False,0.98,2,48,189
