topic_A,topic_B,same_topic,confidence,reasoning
30,185,False,high,"Тема А связана с событиями, кинофестивалями и концессиями, что указывает на культурно-экономический контекст. Тема B явно связана с политическими или общественными высказываниями, страхом и 'Царьградом', что указывает на совершенно иную тематику."
94,50,False,high,"Тема А посвящена покушению на Захара Прилепина (взрыв автомобиля), а Тема B описывает инцидент со стрельбой, связанный с мужчиной и полицией, что указывает на разные события и фокусы."
135,7,False,high,"Тема А связана с инцидентом с батискафом «Титан» и подводными работами. Тема B полностью посвящена гражданской авиации, самолетам и полетам."
184,167,False,high,"Тема А посвящена инцидентам с сожжением Корана в Швеции и реакции Турции. Тема B посвящена процессу вступления Швеции в НАТО. Это разные, хотя и связанные с Швецией, события."
189,5,False,high,"Тема А посвящена инцидентам с животными (акула, нападение) в контексте туризма (Египет, пляж). Тема B посвящена криминальным происшествиям с участием людей (убийство, нож, полиция, задержание)."
211,123,False,high,Тема А посвящена регулированию продажи алкоголя в сельских поселениях. Тема B посвящена проблемам водоснабжения и отключениям горячей воды.
217,4,False,high,"Тема А посвящена рекреации и водоемам (вода, пляж, отдых), а Тема B - городской инфраструктуре и общественному транспорту (автобус, метро, ремонт)."
219,42,False,medium,"Тема А сосредоточена на переименовании Волгограда/Сталинграда, что является локальным и политическим вопросом. Тема B посвящена празднованию Дня Победы и военным парадам, что является общенациональным мемориальным событием, хотя и связанным с историей Сталинграда."
222,37,False,high,"Тема А посвящена Международному женскому дню (8 марта), а Тема B посвящена религиозному празднику Пасхе и православию."
226,42,True,high,"Обе темы тесно связаны с празднованием Дня Победы в России, включая упоминания парадов и связанных с этим мероприятий, таких как 'Бессмертный полк'."
230,128,False,high,"Тема А связана с награждениями, образовательными учреждениями (лицей, техникум) и промышленными объектами (НПЗ), вероятно, в Самарской области. Тема B напрямую связана с политическими деятелями Самарской области (губернатор, Азаров, Федорищев)."
